minorityvote = 9/3/3/0 S-PV-5619 pg006-bk02 2007-01-12 
ambassador = S-PV-5470 pg014-bk01 2006-06-20 Mr. Matulay
ambassador = S-PV-5512 pg015-bk01 2006-08-15 Mr. Matulay
ambassador = S-PV-5515 pg017-bk01 2006-08-22 Mr. Matulay
ambassador = S-PV-5563 pg011-bk01 2006-11-08 Mr. Matulay
ambassador = S-PV-5564 pg011-bk02 2006-11-09 Mr. Matulay
ambassador = S-PV-5565 pg004-bk02 2006-11-11 Mr. Matulay
ambassador = S-PV-5573 pg016-bk02 2006-11-28 Mr. Matulay
ambassador = S-PV-5583 pg017-bk01 2006-12-11 Mr. Matulay
ambassador = S-PV-5619 pg008-bk03 2007-01-12 Mr. Matulay
ambassador = S-PV-5641 pg011-bk01 2007-03-20 Mr. Matulay
ambassador = S-PV-5647 pg012-bk02 2007-03-24 Mr. Matulay
ambassador = S-PV-5667 pg012-bk01 2007-04-25 Mr. Matulay
ambassador = S-PV-5675 pg009-bk01 2007-05-16 Mr. Matulay
ambassador = S-PV-5685 pg007-bk02 2007-05-30 Mr. Matulay
ambassador = A-52-PV.49 pg010-bk01 1997-11-12 Mr. Mistrik
ambassador = S-PV-5488 pg004-bk02 2006-07-13 Mr. Mlynár
ambassador = S-PV-5489 pg015-bk02 2006-07-14 Mr. Mlynár
ambassador = S-PV-5603 pg012-bk01 2006-12-20 Mr. Mlynár
ambassador = A-50-PV.106 pg004-bk02 1996-04-15 Mr. Pauliny
ambassador = A-56-PV.88 pg001-bk04 2001-12-19 Mr. Priputen
ambassador = A-56-PV.97 pg002-bk04 2002-03-27 Mr. Priputen
ambassador = A-50-PV.11 pg001-bk04 1995-09-28 Mr. Schenk
ambassador = A-58-PV.72 pg001-bk04 2003-12-09 Mr. Spacek
ambassador = A-55-PV.84 pg001-bk04 2000-12-12 Mr. Stefánek
ambassador = S-PV-4037-Resu.1 pg028-bk02 1999-08-25 Mr. Tomka
ambassador = S-PV-4046-Resu.1 pg021-bk02 1999-09-17 Mr. Tomka
ambassador = A-54-PV.34 pg006-bk02 1999-10-14 Mr. Tomka
ambassador = A-54-PV.61 pg022-bk01 1999-11-22 Mr. Tomka
ambassador = A-54-PV.70 pg010-bk01 1999-12-06 Mr. Tomka
ambassador = A-54-PV.85 pg002-bk01 1999-12-20 Mr. Tomka
ambassador = S-PV-4223-Resu.1 pg027-bk02 2000-11-15 Mr. Tomka
ambassador = A-56-PV.9 pg025-bk01 2001-09-25 Mr. Tomka
ambassador = A-56-PV.18 pg005-bk01 2001-10-04 Mr. Tomka
ambassador = A-56-PV.28 pg001-bk04 2001-10-16 Mr. Tomka
ambassador = A-56-PV.30 pg012-bk01 2001-10-22 Mr. Tomka
ambassador = A-57-PV.46 pg019-bk01 2002-11-11 Mr. Tomka
ambassador = A-51-PV.99 pg007-bk01 1997-05-21 Mr. Varso
ambassador = A-53-PV.42 pg014-bk01 1998-10-22 Mr. Varso
ambassador = A-53-PV.80 pg006-bk01 1998-12-07 Mr. Varso
ambassador = A-53-PV.90 pg020-bk02 1998-12-11 Mr. Varso
ambassador = S-PV-3954-Resu.1 pg017-bk02 1998-12-23 Mr. Varso
ambassador = A-59-PV.76 pg011-bk07 2004-12-23 Mrs. Hutnová
ambassador = A-59-PV.104 pg001-bk07 2005-06-22 Mrs. Hutnová
ambassador = A-59-PV.91 pg001-bk04 2005-04-13 Ms. Hutnová
ambassador = S-PV-3896 pg029-bk02 1998-06-29 Ms. Keltosová
ambassador = A-52-PV.11 pg001-bk04 1997-09-25 Ms. Kramplová
ambassador = A-53-PV.14 pg022-bk04 1998-09-24 Ms. Kramplová
ambassador = A-57-PV.32 pg013-bk01 2002-10-16 Ms. Novotna
ambassador = A-57-PV.32 pg014-bk02 2002-10-16 Ms. Novotna
ambassador = A-56-PV.35 pg012-bk01 2001-10-31 Ms. Novotná
ambassador = A-56-PV.79 pg003-bk01 2001-12-07 Ms. Novotná
ambassador = S-PV-4726-Resu.1 pg005-bk04 2003-03-27 Ms. Novotná
ambassador = A-58-PV.21 pg025-bk02 2003-10-02 Ms. Novotná
ambassador = A-59-PV.25 pg022-bk01 2004-10-11 Ms. Novotná
ambassador = A-53-PV.51 pg002-bk01 1998-11-02 Ms. Rozgonová
ambassador = S-PV-5584 pg013-bk01 2006-12-12 Ms. Strofová
ambassador = A-50-PV.46 pg012-bk01 1995-11-01 Ms. Tomová
