minorityvote = 123/3/11/48 A-51-PV.43 pg019-bk05 1996-10-29 The third preambular paragraph was retained by 123 votes to 3, with 11 abstentions. [Subsequently, the delegation of Sudan advised the Secretariat that it had intended to vote in favour]
minorityvote = 145/4/11/25 A-49-PV.90 pg031-bk04 1994-12-15 Operative paragraph 6 was adopted by 145 votes to 4, with 11 abstentions.
minorityvote = 4/0/11/0 S-PV-3654 pg003-bk01 1996-04-18 
minorityvote = 8/95/22/60 A-50-PV.47 pg016-bk02 1995-11-01 The amendment was rejected by 95 votes to 8, with 22 abstentions.
minorityvote = 11/71/41/62 A-51-PV.43 pg019-bk03 1996-10-29 The amendment was rejected by 71 votes to 11, with 41 abstentions.
minorityvote = 101/13/49/22 A-49-PV.94 pg024-bk06 1994-12-23 Draft resolution III was adopted by 101 votes to 13, with 49 abstentions ( resolution 49/198 ).
ambassador = A-56-PV.104 pg004-bk01 2002-06-18 Mr. Hidayat
ambassador = S-PV-4588 pg034-bk02 2002-07-24 Mr. Hidayat
ambassador = S-PV-4614-Resu.1 pg020-bk02 2002-09-23 Mr. Hidayat
ambassador = A-57-PV.20 pg006-bk04 2002-09-27 Mr. Hidayat
ambassador = A-57-PV.29 pg010-bk02 2002-10-15 Mr. Hidayat
ambassador = S-PV-4625-Resu.1 pg013-bk02 2002-10-16 Mr. Hidayat
ambassador = A-57-PV.40 pg012-bk01 2002-10-31 Mr. Hidayat
ambassador = A-57-PV.47 pg005-bk01 2002-11-11 Mr. Hidayat
ambassador = S-PV-4646 pg026-bk02 2002-11-14 Mr. Hidayat
ambassador = A-57-PV.64 pg012-bk01 2002-12-02 Mr. Hidayat
ambassador = S-PV-4660-Resu.1 pg021-bk02 2002-12-10 Mr. Hidayat
ambassador = S-PV-4684-Resu.1 pg023-bk02 2003-01-14 Mr. Hidayat
ambassador = S-PV-4717 pg029-bk04 2003-03-11 Mr. Hidayat
ambassador = S-PV-4726 pg019-bk01 2003-03-26 Mr. Hidayat
ambassador = S-PV-4748 pg028-bk02 2003-04-30 Mr. Hidayat
ambassador = A-51-PV.13 pg026-bk01 1996-09-27 Mr. Ibrahim
ambassador = A-51-PV.13 pg028-bk02 1996-09-27 Mr. Ibrahim
ambassador = A-53-PV.46 pg016-bk01 1998-10-28 Mr. Ibrahim
ambassador = A-60-PV.40 pg025-bk01 2005-10-31 Mr. Inkiriwang
ambassador = A-50-PV.108 pg022-bk01 1996-04-16 Mr. Jatnodiprodjo
ambassador = S-PV-4790 pg035-bk02 2003-07-18 Mr. Jenie
ambassador = S-PV-4792 pg024-bk02 2003-07-23 Mr. Jenie
ambassador = S-PV-4824-Resu.1 pg016-bk03 2003-09-15 Mr. Jenie
ambassador = S-PV-4841 pg039-bk04 2003-10-14 Mr. Jenie
ambassador = S-PV-4845-Resu.1 pg025-bk02 2003-10-16 Mr. Jenie
ambassador = A-58-PV.41 pg005-bk01 2003-10-22 Mr. Jenie
ambassador = A-58-PV.46 pg003-bk01 2003-10-28 Mr. Jenie
ambassador = S-PV-4852-Resu.1 pg010-bk02 2003-10-29 Mr. Jenie
