minorityvote = 9/3/3/0 S-PV-5619 pg006-bk02 2007-01-12 
minorityvote = 10/0/5/0 S-PV-5685 pg005-bk03 2007-05-30 
minorityvote = 105/12/44/31 A-57-PV.57 pg010-bk02 2002-11-22 Draft resolution F was adopted by 105 votes to 12, with 44 abstentions ( resolution 57/63 ).
minorityvote = 118/12/46/15 A-58-PV.71 pg010-bk10 2003-12-08 Draft resolution IX was adopted by 118 votes to 12, with 46 abstentions ( resolution 58/44 ).
ambassador = S-PV-4081-Resu.1 pg029-bk02 1999-12-15 Mr. Francese
ambassador = S-PV-4117 pg018-bk02 2000-03-22 Mr. Francese
ambassador = S-PV-4209 pg019-bk02 2000-10-26 Mr. Francese
ambassador = A-55-PV.102 pg005-bk02 2001-06-12 Mr. Francese
ambassador = A-55-PV.107 pg001-bk09 2001-07-12 Mr. Francese
ambassador = A-56-PV.103 pg026-bk01 2002-06-18 Mr. Francese
ambassador = A-57-PV.93 pg006-bk01 2003-07-03 Mr. Francese
ambassador = A-58-PV.3 pg022-bk02 2003-09-22 Mr. Frattini
ambassador = A-59-PV.7 pg026-bk06 2004-09-23 Mr. Frattini
ambassador = A-49-PV.49 pg006-bk01 1994-11-01 Mr. Fulci
ambassador = S-PV-3449 pg019-bk06 1994-11-04 Mr. Fulci
ambassador = S-PV-3483 pg015-bk02 1994-12-16 Mr. Fulci
ambassador = S-PV-3488 pg008-bk01 1995-01-12 Mr. Fulci
ambassador = S-PV-3489 pg005-bk01 1995-01-13 Mr. Fulci
ambassador = S-PV-3492-Resu.1 pg002-bk02 1995-01-18 Mr. Fulci
ambassador = S-PV-3494 pg008-bk02 1995-01-27 Mr. Fulci
ambassador = S-PV-3496 pg013-bk01 1995-01-30 Mr. Fulci
ambassador = S-PV-3499-Resu.1 pg014-bk02 1995-02-08 Mr. Fulci
ambassador = S-PV-3505 pg013-bk01 1995-02-28 Mr. Fulci
ambassador = S-PV-3514 pg018-bk01 1995-04-11 Mr. Fulci
ambassador = S-PV-3517 pg002-bk08 1995-04-13 Mr. Fulci
ambassador = S-PV-3519 pg002-bk10 1995-04-14 Mr. Fulci
ambassador = S-PV-3521 pg007-bk02 1995-04-19 Mr. Fulci
ambassador = S-PV-3522 pg019-bk02 1995-04-21 Mr. Fulci
ambassador = S-PV-3537 pg002-bk10 1995-05-17 Mr. Fulci
ambassador = S-PV-3538 pg005-bk02 1995-05-17 Mr. Fulci
ambassador = S-PV-3542 pg010-bk02 1995-06-09 Mr. Fulci
ambassador = S-PV-3562 pg009-bk01 1995-08-07 Mr. Fulci
ambassador = S-PV-3563 pg017-bk01 1995-08-10 Mr. Fulci
ambassador = S-PV-3564 pg007-bk05 1995-08-10 Mr. Fulci
ambassador = S-PV-3566 pg008-bk01 1995-08-16 Mr. Fulci
