minorityvote = 14/1/0/0 S-PV-5500 pg002-bk08 2006-07-31 
ambassador = A-53-PV.48 pg015-bk07 1998-10-29 Mr. Al-Nasser
ambassador = A-53-PV.76 pg001-bk04 1998-12-02 Mr. Al-Nasser
ambassador = A-53-PV.89 pg023-bk02 1998-12-11 Mr. Al-Nasser
ambassador = A-53-PV.95 pg002-bk02 1999-03-23 Mr. Al-Nasser
ambassador = A-54-PV.68 pg010-bk01 1999-12-01 Mr. Al-Nasser
ambassador = A-54-PV.85 pg008-bk01 1999-12-20 Mr. Al-Nasser
ambassador = A-55-PV.22 pg016-bk02 2000-09-19 Mr. Al-Nasser
ambassador = S-PV-4204-Resu.1 pg009-bk02 2000-10-04 Mr. Al-Nasser
ambassador = A-55-PV.41 pg019-bk01 2000-10-26 Mr. Al-Nasser
ambassador = A-55-PV.76 pg017-bk01 2000-11-30 Mr. Al-Nasser
ambassador = A-55-PV.106 pg002-bk04 2001-07-12 Mr. Al-Nasser
ambassador = S-PV-4357 pg028-bk01 2001-08-20 Mr. Al-Nasser
ambassador = A-56-PV.17 pg018-bk01 2001-10-03 Mr. Al-Nasser
ambassador = S-PV-4392-Resu.1 pg011-bk02 2001-10-19 Mr. Al-Nasser
ambassador = A-56-PV.41 pg005-bk01 2001-11-08 Mr. Al-Nasser
ambassador = S-PV-4453-Resu.1 pg018-bk02 2002-01-18 Mr. Al-Nasser
ambassador = S-PV-4503 pg022-bk02 2002-03-29 Mr. Al-Nasser
ambassador = S-PV-4506-Resu.1 pg020-bk02 2002-04-03 Mr. Al-Nasser
ambassador = S-PV-4510 pg023-bk02 2002-04-08 Mr. Al-Nasser
ambassador = A-57-PV.11 pg024-bk02 2002-09-16 Mr. Al-Nasser
ambassador = A-57-PV.12 pg028-bk02 2002-09-17 Mr. Al-Nasser
ambassador = S-PV-4614-Resu.1 pg019-bk02 2002-09-23 Mr. Al-Nasser
ambassador = A-57-PV.41 pg018-bk01 2002-10-31 Mr. Al-Nasser
ambassador = A-57-PV.66 pg013-bk01 2002-12-03 Mr. Al-Nasser
ambassador = S-PV-4709-Resu.1 pg002-bk07 2003-02-19 Mr. Al-Nasser
ambassador = S-PV-4836 pg024-bk02 2003-10-05 Mr. Al-Nasser
ambassador = A-58-PV.57 pg005-bk01 2003-11-05 Mr. Al-Nasser
ambassador = S-PV-4929 pg017-bk04 2004-03-23 Mr. Al-Nasser
ambassador = A-59-PV.33 pg009-bk01 2004-10-18 Mr. Al-Nasser
ambassador = A-59-PV.44 pg008-bk01 2004-10-28 Mr. Al-Nasser
ambassador = A-59-PV.51 pg004-bk01 2004-11-11 Mr. Al-Nasser
ambassador = A-59-PV.90 pg017-bk01 2005-04-08 Mr. Al-Nasser
ambassador = A-60-PV.35 pg025-bk01 2005-10-20 Mr. Al-Nasser
ambassador = A-60-PV.43 pg015-bk01 2005-11-03 Mr. Al-Nasser
ambassador = S-PV-5351 pg012-bk01 2006-01-23 Mr. Al-Nasser
ambassador = S-PV-5373 pg014-bk01 2006-02-14 Mr. Al-Nasser
ambassador = S-PV-5375 pg022-bk01 2006-02-21 Mr. Al-Nasser
ambassador = S-PV-5376 pg016-bk01 2006-02-22 Mr. Al-Nasser
ambassador = S-PV-5385 pg017-bk01 2006-03-14 Mr. Al-Nasser
ambassador = S-PV-5389 pg010-bk03 2006-03-17 Mr. Al-Nasser
ambassador = S-PV-5390 pg006-bk02 2006-03-20 Mr. Al-Nasser
ambassador = S-PV-5397 pg019-bk01 2006-03-27 Mr. Al-Nasser
ambassador = S-PV-5404 pg018-bk01 2006-03-30 Mr. Al-Nasser
ambassador = S-PV-5432 pg014-bk01 2006-05-05 Mr. Al-Nasser
ambassador = S-PV-5434 pg014-bk02 2006-05-09 Mr. Al-Nasser
ambassador = S-PV-5439 pg003-bk01 2006-05-16 Mr. Al-Nasser
ambassador = S-PV-5440 pg004-bk01 2006-05-17 Mr. Al-Nasser
ambassador = S-PV-5457 pg014-bk02 2006-06-13 Mr. Al-Nasser
ambassador = S-PV-5474 pg020-bk01 2006-06-22 Mr. Al-Nasser
ambassador = S-PV-5493 pg014-bk02 2006-07-21 Mr. Al-Nasser
ambassador = S-PV-5494 pg023-bk01 2006-07-24 Mr. Al-Nasser
ambassador = S-PV-5500 pg002-bk10 2006-07-31 Mr. Al-Nasser
ambassador = S-PV-5512 pg011-bk02 2006-08-15 Mr. Al-Nasser
ambassador = S-PV-5515 pg018-bk01 2006-08-22 Mr. Al-Nasser
