minorityvote = 10/4/1/0 S-PV-5526 pg004-bk02 2006-09-15 
ambassador = A-59-PV.39 pg013-bk02 2004-10-21 Mr. Ikouebe
ambassador = A-59-PV.113 pg001-bk04 2005-07-14 Mr. Ikouebe
ambassador = S-PV-5376 pg011-bk01 2006-02-22 Mr. Ikouebe
ambassador = S-PV-5411 pg015-bk01 2006-04-17 Mr. Ikouebe
ambassador = S-PV-5478 pg003-bk04 2006-06-29 Mr. Ikouebe
ambassador = S-PV-5482 pg003-bk01 2006-07-06 Mr. Ikouebe
ambassador = S-PV-5489 pg013-bk01 2006-07-14 Mr. Ikouebe
ambassador = S-PV-5509 pg021-bk01 2006-08-09 Mr. Ikouebe
ambassador = S-PV-5529 pg016-bk02 2006-09-20 Mr. Ikouebe
ambassador = S-PV-5565 pg005-bk01 2006-11-11 Mr. Ikouebe
ambassador = S-PV-5568 pg010-bk02 2006-11-21 Mr. Ikouebe
ambassador = S-PV-5579 pg003-bk01 2006-12-06 Mr. Ikouebe
ambassador = S-PV-5584 pg019-bk01 2006-12-12 Mr. Ikouebe
ambassador = S-PV-5588 pg016-bk01 2006-12-13 Mr. Ikouebe
ambassador = S-PV-5603 pg015-bk01 2006-12-20 Mr. Ikouebe
ambassador = S-PV-5616 pg011-bk01 2007-01-09 Mr. Ikouebe
ambassador = S-PV-5619 pg007-bk03 2007-01-12 Mr. Ikouebe
ambassador = S-PV-5663 pg007-bk01 2007-04-17 Mr. Ikouebe
ambassador = S-PV-5675 pg012-bk01 2007-05-16 Mr. Ikouebe
ambassador = S-PV-5677 pg013-bk01 2007-05-21 Mr. Ikouebe
ambassador = A-57-PV.56 pg025-bk04 2002-11-21 Mr. Makayat-Safouesse
ambassador = A-59-PV.43 pg008-bk01 2004-10-27 Mr. Makayat-Safouesse
ambassador = A-60-PV.37 pg008-bk01 2005-10-25 Mr. Makayat-Safouesse
ambassador = S-PV-5522 pg019-bk01 2006-09-13 Mr. Makayat-Safouesse
ambassador = S-PV-5594 pg018-bk01 2006-12-15 Mr. Makayat-Safouesse
ambassador = A-58-PV.5 pg018-bk02 2003-09-22 Mr. Moka
ambassador = A-56-PV.18 pg024-bk01 2001-10-04 Mr. Okio
ambassador = A-60-PV.33 pg003-bk03 2005-10-14 Mr. Okio
ambassador = S-PV-5351 pg019-bk01 2006-01-23 Mr. Okio
ambassador = S-PV-5353 pg012-bk01 2006-01-24 Mr. Okio
ambassador = S-PV-5375 pg020-bk01 2006-02-21 Mr. Okio
ambassador = S-PV-5379 pg011-bk01 2006-02-23 Mr. Okio
ambassador = S-PV-5635 pg013-bk01 2007-02-23 Mr. Okio
ambassador = A-50-PV.16 pg025-bk02 1995-10-03 Mr. Tsaty-Boungou
ambassador = A-51-PV.16 pg013-bk03 1996-10-01 Mr. Tsaty-Boungou
ambassador = A-52-PV.24 pg025-bk02 1997-10-03 Mr. Tsaty-Boungou
ambassador = S-PV-5476 pg015-bk01 2006-06-28 Mrs. Itoua Apoyolo
ambassador = S-PV-5525 pg007-bk01 2006-09-15 Mrs. Itoua Apoyolo
