minorityvote = 10/0/5/0 S-PV-3392 pg005-bk02 1994-06-22 
minorityvote = 11/2/2/0 S-PV-3428 pg028-bk06 1994-09-23 
minorityvote = 129/12/32/12 A-52-PV.70 pg018-bk06 1997-12-12 Draft resolution XVIII was adopted by 129 votes to 12, with 32 abstentions ( resolution 52/136 ).
minorityvote = 12/0/2/1 S-PV-3413 pg012-bk01 1994-07-31 
ambassador = S-PV-3592 pg008-bk01 1995-11-10 Mr. Kovanda
ambassador = S-PV-3595 pg009-bk01 1995-11-22 Mr. Kovanda
ambassador = A-50-PV.73 pg016-bk01 1995-11-29 Mr. Kovanda
ambassador = A-50-PV.77 pg011-bk01 1995-12-01 Mr. Kovanda
ambassador = S-PV-3612 pg008-bk01 1995-12-21 Mr. Kovanda
ambassador = S-PV-3621 pg029-bk02 1996-01-25 Mr. Kovanda
ambassador = A-51-PV.42 pg016-bk01 1996-10-28 Mr. Kovanda
ambassador = A-51-PV.71 pg015-bk01 1996-12-03 Mr. Kovanda
ambassador = A-54-PV.46 pg016-bk01 1999-11-04 Mr. Kára
ambassador = A-54-PV.46 pg016-bk03 1999-11-04 Mr. Kára
ambassador = A-56-PV.43 pg017-bk01 2001-11-09 Mr. Kára
ambassador = A-56-PV.59 pg010-bk01 2001-11-19 Mr. Kára
ambassador = A-57-PV.46 pg017-bk01 2002-11-11 Mr. Kára
ambassador = A-57-PV.46 pg018-bk02 2002-11-11 Mr. Kára
ambassador = A-57-PV.75 pg027-bk04 2002-12-16 Mr. Kára
ambassador = A-61-PV.73 pg001-bk04 2006-12-11 Mr. Palous
ambassador = A-60-PV.5 pg040-bk02 2005-09-15 Mr. Paroubek
ambassador = A-57-PV.80 pg019-bk05 2003-01-29 Mr. Petr
ambassador = S-PV-3392 pg009-bk01 1994-06-22 Mr. Rovensky
ambassador = S-PV-3398 pg003-bk01 1994-06-30 Mr. Rovensky
ambassador = S-PV-3407 pg008-bk02 1994-07-21 Mr. Rovensky
ambassador = S-PV-3413 pg024-bk01 1994-07-31 Mr. Rovensky
ambassador = A-49-PV.33 pg018-bk01 1994-10-17 Mr. Rovensky
ambassador = A-49-PV.33 pg019-bk02 1994-10-17 Mr. Rovensky
ambassador = A-49-PV.34 pg018-bk02 1994-10-17 Mr. Rovensky
ambassador = A-49-PV.63 pg026-bk01 1994-11-22 Mr. Rovensky
