minorityvote = 101/14/47/23 A-50-PV.99 pg019-bk04 1995-12-22 Draft resolution XII was adopted by 101 votes to 14, with 47 abstentions ( resolution 50/199 ).
minorityvote = 81/18/64/22 A-52-PV.70 pg029-bk02 1997-12-12 Draft resolution VIII was adopted by 81 votes to 18, with 64 abstentions ( resolution 52/144 ).
minorityvote = 92/19/55/19 A-51-PV.82 pg024-bk04 1996-12-12 Draft resolution IV was adopted by 92 votes to 19, with 55 abstentions ( resolution 51/109 ).
minorityvote = 79/30/54/22 A-51-PV.82 pg023-bk02 1996-12-12 Draft resolution II was adopted by 79 votes to 30, with 54 abstentions ( resolution 51/107 ).
minorityvote = 37/31/84/33 A-49-PV.90 pg008-bk04 1994-12-15 The amendment was adopted by 37 votes to 31, with 84 abstentions.
minorityvote = 31/32/87/35 A-49-PV.90 pg008-bk02 1994-12-15 The amendment was rejected by 32 votes to 31, with 87 abstentions.
minorityvote = 74/32/56/23 A-52-PV.70 pg028-bk02 1997-12-12 Draft resolution VI was adopted by 74 votes to 32, with 56 abstentions ( resolution 52/142 ).
minorityvote = 79/37/48/26 A-56-PV.88 pg021-bk04 2001-12-19 Draft resolution VI was adopted by 79 votes to 37, with 48 abstentions ( resolution 56/175 ).
minorityvote = 104/37/29/22 A-57-PV.77 pg021-bk04 2002-12-18 Operative paragraph 6 was retained by 104 votes to 37, with 29 abstentions.
minorityvote = 37/2/100/53 A-57-PV.79 pg008-bk02 2002-12-20 The amendment contained in  document A/57/L.73  was adopted by 37 votes to 2, with 100 abstentions.
ambassador = S-PV-4896-Resu.1 pg012-bk02 2004-01-19 Mr. Pemagbi
ambassador = S-PV-4993-Resu.1 pg005-bk02 2004-06-22 Mr. Pemagbi
ambassador = S-PV-5005 pg011-bk02 2004-07-16 Mr. Pemagbi
ambassador = S-PV-5052-Resu.1 pg030-bk02 2004-10-06 Mr. Pemagbi
ambassador = S-PV-5187-Resu.1 pg015-bk02 2005-05-26 Mr. Pemagbi
ambassador = S-PV-5334 pg018-bk02 2005-12-20 Mr. Pemagbi
ambassador = A-60-PV.70 pg001-bk06 2006-02-06 Mr. Pemagbi
ambassador = S-PV-5376 pg024-bk02 2006-02-22 Mr. Pemagbi
ambassador = S-PV-5390 pg026-bk04 2006-03-20 Mr. Pemagbi
ambassador = A-61-PV.64 pg010-bk01 2006-12-04 Mr. Pemagbi
ambassador = S-PV-4081-Resu.1 pg017-bk02 1999-12-15 Mr. Rowe
ambassador = S-PV-4111-Resu.1 pg008-bk01 2000-03-13 Mr. Rowe
ambassador = A-56-PV.68 pg001-bk04 2001-11-29 Mr. Rowe
ambassador = S-PV-4684-Resu.1 pg024-bk02 2003-01-14 Mr. Rowe
ambassador = A-57-PV.93 pg006-bk02 2003-07-03 Mr. Rowe
ambassador = S-PV-4877-Resu.1 pg004-bk02 2003-12-09 Mr. Rowe
ambassador = S-PV-4898-Resu.1 pg006-bk02 2004-01-20 Mr. Rowe
ambassador = S-PV-4899 pg026-bk02 2004-01-23 Mr. Rowe
ambassador = S-PV-4903-Resu.1 pg007-bk02 2004-01-26 Mr. Rowe
ambassador = S-PV-5131 pg033-bk02 2005-02-25 Mr. Rowe
ambassador = A-59-PV.116 pg010-bk03 2005-08-24 Mr. Rowe
ambassador = S-PV-5509-Resu.1 pg014-bk02 2006-08-09 Mr. Rowe
ambassador = S-PV-5627 pg011-bk02 2007-01-31 Mr. Rowe
ambassador = A-61-PV.87 pg001-bk04 2007-02-06 Mr. Rowe
ambassador = A-61-PV.6 pg046-bk02 2006-09-15 Mr. Sesay
ambassador = A-61-PV.8 pg035-bk02 2006-09-18 Mr. Sesay
ambassador = A-60-PV.86 pg040-bk02 2006-06-02 Mrs. Thomas
